"fila_excel","tax","elev_msnm","colector","herbario","localidad","pais","departamento","municipio","fecha","habito","id","subpop_id"
1,"Serpocaulon adnatum",NA,"J. M. Idrobo, P. Pinto & Bischler 2909","COL 65724","Huila, San Agustin, Mesitas, vìa Magdalena, Hoya del Magdalena","Colombia","Huila","San Agustin","21425","Escandente",1,8
2,"Serpocaulon adnatum",696,"Hagemman W. & N. Leist  1567","COL 000335971","Putumayo, 59 km. Al W de El Pepino, puente de Carretera encima del Valle principal.","Colombia","Putumayo","59 km. Al W de El Pepino","26625","Rup",2,1
3,"Serpocaulon adnatum",696,"Hagemman 1567","PSO 4438","Putumayo, El Pepino","Colombia","Putumayo","El Pepino",NA,NA,3,1
4,"Serpocaulon adnatum",1054,"E. P. Killip & H. Garcia 33919","COL 18024","Colombia, Valle del Cauca, San Antonio, west of Calí, near to summit of Cordillera Occidental.","Colombia","Valle del Cauca","San Antonio","14330","He",5,15
5,"Serpocaulon adnatum",2264,"Grubb P.J. & D.A. Guymer 91","COL 000335787","Colombia, Boyacá, Sierra Nevada del Cocuy, arround Bocota.","Colombia","Boyacá","Sierra Nevada del Cocuy","21055",NA,7,54
6,"Serpocaulon adnatum",1562,"García-Barriga H 17344","COL 000335999","Colombia, Cundinamarca, San Francisco a La Vega.","Colombia","Cundinamarca","San Francisco a La Vega.","22542",NA,8,49
7,"Serpocaulon adnatum",2161,"Jaramillo-Mejía et al., 3454","COL 000335966","Colombia, Cundinamarca, entre San Miguel y Fusagasugá, hacienda La Primavera.","Colombia","Cundinamarca","entre San Miguel y Fusagasugá","24736","He",11,43
8,"Serpocaulon adnatum",2286,"Murillo M.T. et al., 1517","COL 000335789","Colombia, Boyacá, entre Chiquinquirá y Pauna, en el sitio denominado Las Fuentes.","Colombia","Boyacá","entre Chiquinquirá y Pauna","25914","Hr",13,51
9,"Serpocaulon adnatum",2210,"Lellinger D.B. & E. de la Sota 813","COL 000335781","Colombia, Valle del Cauca, Finca La Pradera ca 6 km SW of El Cairo on the trail to Río Blanco, between El Brillante and Boquerón.","Colombia","Valle del Cauca","Finca La Pradera ca 6 km SW of El Cairo on the trail to Río Blanco","26019","He",14,17
10,"Serpocaulon adnatum",411,"Leist & Mohle 2150","COL 271499","Colombia, Nariño, al W de el Diviso.","Colombia","Nariño","al W de el Diviso.","26818",NA,15,5
11,"Serpocaulon adnatum",2006,"Idrobo J.M. et al., 10521","COL 217506","Colombia, Tolima, Santa Isabel, Vereda La Pava, Finca La Pavita, Cordillera Central, vertiente oriental.","Colombia","Tolima","Santa Isabel","29437","Hr",16,46
12,"Serpocaulon adnatum",1296,"Osorio G. 78","COL 248581","Colombia, Huila, Pitalito, inspección policia La Laguna, alrededores.","Colombia","Huila","Pitalito","30305","Hr",17,9
13,"Serpocaulon adnatum",1662,"P. Franco, O. Rangel, A. Cleef & S. Salamanca 1654","COL 415684","Colombia, Valle del Cauca, Argelia, vereda Las Brisas.","Colombia","Valle del Cauca","Argelia","30368","sr",18,16
14,"Serpocaulon adnatum",1662,"P. Franco, O. Rangel, A. Cleef & S. Salamanca 1654","COL 278713","Colombia, Valle del Cauca, Argelia, vereda Las Brisas.","Colombia","Valle del Cauca","Argelia","30368","sr",19,16
15,"Serpocaulon adnatum",1756,"Devia W. 742","COL 307934","Colombia, Valle del Cauca, Tuluá, corregimiento Monteloro, vereda La Diadema, Finca de don Rogelio.","Colombia","Valle del Cauca","Tuluá","30949",NA,20,22
16,"Serpocaulon adnatum",NA,"M. de Fraume et al., 343","FAUC 222","Caldas, Manizales, Monteleón","Colombia","Caldas","Manizales","31094","ne",21,37
17,"Serpocaulon adnatum",2938,"C. Vélez et al., 3675","HUQ 12896","Quindio, Cordoba, Vereda Las Auras, Finca la Palma Hermosa","Colombia","Quindio","Cordoba","34317","Hr",22,23
18,"Serpocaulon adnatum",NA,"Mendoza H. & J. Betancur 4956","FMB 18326","Colombia, Caquetá, San Vicente del Caguán, cuanca del Río Pato.","Colombia","Caquetá","San Vicente del Caguán","35749",NA,23,41
19,"Serpocaulon adnatum",NA,"Mendoza H. & J. Betancur 4643","FMB 18319","Colombia, Caquetá, San Vicente del Caguán, cuanca del Río Pato.","Colombia","Caquetá","San Vicente del Caguán","35749",NA,24,41
20,"Serpocaulon adnatum",NA,"Mendoza H. & J. Betancur 4643","FMB 18327","Colombia, Caquetá, San Vicente del Caguán, cuanca del Río Pato.","Colombia","Caquetá","San Vicente del Caguán","35749",NA,25,41
21,"Serpocaulon adnatum",2069,"Triana-Moreno L.A. 60","COL 000070293","Colombia, Cundinamarca, Albán, vereda Las Marias, Fundación Granjas Infantiles del Padre Luna, Granja del Gran Ciudadano, frente al peaje de Jalisco.","Colombia","Cundinamarca","Albán","37161","Hr-Rup",26,47
22,"Serpocaulon adnatum",2069,"Triana-Moreno L.A. 60","COL 000070223","Colombia, Cundinamarca, Albán, vereda Las Marias, Fundación Granjas Infantiles del Padre Luna, Granja del Gran Ciudadano, frente al peaje de Jalisco.","Colombia","Cundinamarca","Albán","37161","Hr-Rup",27,47
23,"Serpocaulon adnatum",2069,"Triana-Moreno L.A. 60","COL 000070222","Colombia, Cundinamarca, Albán, vereda Las Marias, Fundación Granjas Infantiles del Padre Luna, Granja del Gran Ciudadano, frente al peaje de Jalisco.","Colombia","Cundinamarca","Albán","37161","Hr-Rup",28,47
24,"Serpocaulon adnatum",1848,"Murillo J. & D. Forero 3648","COL 000153085","Colombia, Santander, Floridablanca, de la Corcova hacia El Cerro La Judía.","Colombia","Santander","Floridablanca","38160","He",29,55
25,"Serpocaulon adnatum",2203,"D. Sanín 653","FAUC","Colombia, Caldas, Neira, antigua fabrica Cemenos de Caldas.","Colombia","Caldas","Neira","38197","Sc",30,37
26,"Serpocaulon adnatum",NA,"Silva G.A. et al., 557","FMB 88063","Colombia, Huila, Pitalito, vereda El Triunfo, fonca El Pedregal, a 300 m de la casa de doña Isabel Chaus, entrando desde el borde donde colinda con cafetal.","Colombia","Huila","Pitalito","38363",NA,31,19
27,"Serpocaulon adnatum",NA,"Silva G.A. et al., 129","FMB 79885","Colombia, Huila, La Argentina, vereda El Progreso, finca Buenavista, 20 m debajo de la casa de don Constantino Gómez.","Colombia","Huila","La Argentina","38420",NA,32,21
28,"Serpocaulon adnatum",NA,"Silva G.A. et al., 237","FMB 88058","Colombia, Huila, La Argentina, vereda El Progreso, finca Palmira en una quebrada afluente de la quebrada Garrochal.","Colombia","Huila","La Argentina","38573",NA,33,21
29,"Serpocaulon adnatum",NA,"Silva G.A. et al., 237","FMB 79994","Colombia, Huila, La Argentina, vereda El Progreso, finca Palmira en una quebrada afluente de la quebrada Garrochal.","Colombia","Huila","La Argentina","38573",NA,34,21
30,"Serpocaulon adnatum",NA,"Silva G.A. et al., 237","FMB 88059","Colombia, Huila, La Argentina, vereda El Progreso, finca Palmira en una quebrada afluente de la quebrada Garrochal.","Colombia","Huila","La Argentina","38573",NA,35,21
31,"Serpocaulon adnatum",1783,"Muñoz E.L. et al., 1917","CAUP 18762","Colombia, Cauca, El Tambo, Reserva Natural Tambito.","Colombia","Cauca","El Tambo","38825","He",36,14
32,"Serpocaulon adnatum",NA,"D. Sanín & E. Sanín 3253","FAUC","Colombia, Huila, San Agustín, vereda Platanares, relicto arriba de la Escuela Platanares.","Colombia","Huila","San Agustín","39820","He",37,8
33,"Serpocaulon adnatum",2572,"D. Sanín, L. F. Coca, J. F. Cardona & C. A. Duque. 3316","HUA","Colombia, Caldas, Manizales-Villamaría, vereda Montaño, finca San Atonio, relicto al nororiente de la casa.","Colombia","Caldas","Manizales-Villamaría","40002","He",38,37
34,"Serpocaulon adnatum",1856,"D. Sanín, J. C Ospina-Gonzalez & E. Sanín 3080","FAUC","Colombia, Quindio, Filandia, vereda Cruces, corredor biologico Los Monos, Sendero El Otobo.","Colombia","Quindio","Filandia","40013","Hem",39,24
35,"Serpocaulon adnatum",NA,"D. Sanín & E. Sanín 3214","FAUC","Colombia, Huila, Pitalito, vereda Charguayaco, Reserva de la comunidad el Arroyuelo.","Colombia","Huila","Pitalito","40022","He",40,19
36,"Serpocaulon adnatum",1573,"D. Sanín & E. Sanín 3244","FAUC","Colombia, Huila, San Agustín, vereda La Chaquira, por el camino hacia el puente que atraviesa el río Magdalena, relicto debajo de la roca.","Colombia","Huila","San Agustín","40022","Hr",41,8
37,"Serpocaulon adnatum",1573,"D. Sanín & E. Sanín 3244","HUA","Colombia, Huila, San Agustín, vereda La Chaquira, por el camino hacia el puente que atraviesa el río Magdalena, relicto debajo de la roca.","Colombia","Huila","San Agustín","40022","Hr",42,8
38,"Serpocaulon adnatum",2033,"D. Sanín et al., 3178","FAUC","Colombia, Tolima, Ibague, Corregimiento de Juntas, vía la Escuela El Salto.","Colombia","Tolima","Ibague","40022","Rup",43,44
39,"Serpocaulon adnatum",1864,"D. Sanín, E. Sanín & J. Toro 2446","FAUC","Colombia, Risaralda, Pereira, Reserva Otun Quimbaya, zona amortiguadora del Parque los Nevados.","Colombia","Risaralda","Pereira","40154","He",44,24
40,"Serpocaulon adnatum",2308,"J. H. Torres, O. Rangel, P. Franco, A. Cleef & S. Salamanca 2147","COL 264898","Colombia, Risaralda, Santuario, vereda Los Planes.","Colombia","Risaralda","Santuario","30370","Hr",45,26
41,"Serpocaulon adnatum",1856,"J. E. Ramos, P. A. Silverstone & L. H.Ramos 1163","CUVC 20852","Colombia, Chocó, San Jose del Palmar, vereda de Río Negro, Cerro Torrá, vertiente orientel río Negro, debajo del helipuerto.","Colombia","Chocó","San Jose del Palmar","32367","sr",46,18
42,"Serpocaulon adnatum",2029,"H. Bischler 2246","COL 82759","Colombia, Cundinamarca, Laguna Pedro-Palo.","Colombia","Cundinamarca","Laguna Pedro-Palo.","21661","He",47,45
43,"Serpocaulon adnatum",1662,"P. Franco, O. Rangel, A. Cleef & S. Salamanca 1729","COL 278888","Colombia, Valle del Cauca, Argelia, vereda Las Brisas, Finca San Jorge.","Colombia","Valle del Cauca","Argelia","30338","sr",48,16
44,"Serpocaulon adnatum",2260,"Hno. Daniel 678","COL 178360","Antioquia, La Ceja, Monte Uchubal","Colombia","Antioquia","La Ceja","13058","nr",49,53
45,"Serpocaulon adnatum",2157,"J. Cuatrecasas 8617","COL 22746","Huila, Ondonada del Abra de San Andres, cordillera Oriental, vertiente occidental.","Colombia","Huila","Ondonada del Abra de San Andres","14694","nr",50,20
46,"Serpocaulon adnatum",NA,"G. Gutierrez & F. Barkley 17c004","MEDEL 45011","Antioquia, Cerca de Santa Elena, entre Medellin y Río Negro","Colombia","Antioquia","Cerca de Santa Elena","17442","nr",51,39
47,"Serpocaulon adnatum",NA,"G. Gutierrez & F. Barkley 17c004","COL 55021","Antioquia, Cerca de Santa Elena, entre Medellin y Río Negro","Colombia","Antioquia","Cerca de Santa Elena","17442","nr",52,39
48,"Serpocaulon adnatum",NA,"Skolnik R. et al., 353","COL 493291","Colombia, Antioquia, bajo la cumbre de Santa Elena, camino entre Medellín y Ríonegro.","Colombia","Antioquia","bajo la cumbre de Santa Elena","17990",NA,53,39
49,"Serpocaulon adnatum",NA,"R. Guarín M. 345","PSO 4547","Putumayo, San Francisco, margen derecha a la salida de San Francisco","Colombia","Putumayo","San Francisco","24281","nr",54,3
50,"Serpocaulon adnatum",NA,"S. Espinal & J.  E. Ramos 3580","COL 000336051","Cauca, Paniquitá","Colombia","Cauca","Paniquitá","25344","nr",55,13
51,"Serpocaulon adnatum",NA,"S. Espinal & J.  E. Ramos 3580","CUVC 4145","Cauca, Paniquitá","Colombia","Cauca","Paniquitá","25344","nr",56,13
52,"Serpocaulon adnatum",NA,"Atehortúa L. et al., 407","HUA 5169","Colombia, Antioquia, Rionegro, Santa Elena, Sajonia, quebrada El Yarumo.","Colombia","Antioquia","Rionegro","28254","He",57,39
53,"Serpocaulon adnatum",NA,"R. Callejas et al., 368","HUA 5263","Antioquia, Río Negro (Santa Elena), Sajonia","Colombia","Antioquia","Río Negro (Santa Elena)","28321","Epífito",58,39
54,"Serpocaulon adnatum",NA,"Atehórtua L. et al., 403","HUA 5241","Colombia, Antioquia, Rionegro, Santa Elena, Sajonia, quebrada El Yarumo.","Colombia","Antioquia","Rionegro","28369","He",59,39
55,"Serpocaulon adnatum",NA,"L. Atehorthúa et al., 408","HUA 5241","Antioquia, Río Negro (Santa Elena), Sajonia (Quebrada el Yarumo)","Colombia","Antioquia","Río Negro (Santa Elena)","28383","He",60,39
56,"Serpocaulon adnatum",NA,"V. Perez 6-p","HUA 15379","Caldas, Pácora, quebrada San Antonio, al NE de la población","Colombia","Caldas","Pácora","30119","He",62,38
57,"Serpocaulon adnatum",1972,"Pérez V. 06","HUA 15379","Colombia, Caldas, Pácora. Quebrada San Antonio al NE de la Población.","Colombia","Caldas","Pácora. Quebrada San Antonio al NE de la Población.","30149","W 76º17'14,17""",63,38
58,"Serpocaulon adnatum",2308,"Torres J.H. et al., 2147-A","COL 259502","Colombia, Risaralda, Santuario, vereda Los Planes.","Colombia","Risaralda","Santuario","30370","Hr",64,26
59,"Serpocaulon adnatum",NA,"J. H. Torres, O. Rangel, P. Franco, A. Cleef & S. Salamanca 2147a","COL 259502","Risaralda, Santuario, vereda los Planes","Colombia","Risaralda","Santuario","30370","Hr",65,26
60,"Serpocaulon adnatum",2291,"A. Juncosa & G. Misas 1094","JAUM 5583","Antioquia, Medellin, Alto de Morrogil","Colombia","Antioquia","Medellin","30612","Hr",66,33
61,"Serpocaulon adnatum",2426,"Roldán F.J. et al., 68","HUA 24086","Colombia, Antioquia, Guarne, vereda Piedras Blancas, cerca de la represa.","Colombia","Antioquia","Guarne","30723",NA,67,39
62,"Serpocaulon adnatum",NA,"L. Albert de Escobar et al., 3977","HUA 20930","Antioquia, Caldas, Vereda la Corrala, Finca la Zarza","Colombia","Antioquia","Caldas","30764","He",68,33
63,"Serpocaulon adnatum",NA,"M. de Fraume et al., 102","HUA 62071","Caldas, Manizales, Monteleón","Colombia","Caldas","Manizales","30765","nr",69,37
64,"Serpocaulon adnatum",NA,"M. de Fraume et al., 102","FAUC 0237","Caldas, Manizales, Monteleón","Colombia","Caldas","Manizales","30765",NA,70,37
65,"Serpocaulon adnatum",NA,"M. de Fraume et al., 110","FAUC 262","Caldas, Manizales, Monteleón","Colombia","Caldas","Manizales","30772","He",71,37
66,"Serpocaulon adnatum",NA,"M. de Fraume et al., 110","HUA 57454","Caldas, Manizales, Monteleón","Colombia","Caldas","Manizales","30772","He",72,37
67,"Serpocaulon adnatum",NA,"M. de Fraume et al., 343","FAUC 258","Caldas, Manizales, Monteleón","Colombia","Caldas","Manizales","31094","ne",73,37
68,"Serpocaulon adnatum",2440,"L. Albert de Escobar 5466","HUA 24936","Antioquia, Caldas, Vereda la Corrala, Finca la Zarza","Colombia","Antioquia","Caldas","31247","He",74,33
69,"Serpocaulon adnatum",2208,"A. M. Ríos 16","FAUC 15419","Caldas, Manizales, Monteleón","Colombia","Caldas","Manizales","31350","Hr",75,37
70,"Serpocaulon adnatum",1369,"J.M. Guzman & H. J. Rios 05","FAUC 2314","Caldas, Manizales-Chinchiná, La Siria","Colombia","Caldas","Manizales-Chinchiná","31731","nr",76,25
71,"Serpocaulon adnatum",2431,"A. L. Arbelaez et al., 54","HUA 46150","Antioquia, La Unión, vía entre la Union y San Miguel","Colombia","Antioquia","La Unión","31963","He",77,52
72,"Serpocaulon adnatum",NA,"R. Callejas et al., 3792","HUA 42574","Antioquia, Jardín, vía Río Sucio, 4-5 km de Jardín, Vereda Quebrada Bonita","Colombia","Antioquia","Jardín","31966","Hr",78,30
73,"Serpocaulon adnatum",NA,"A. L. Arbelaez et al., 272","HUA 44787","Antioquia, Salgar, 12 km al Noreste del Municipio, cerca de Finca la Regada, costado izquierdo de La Quebrada Liboriana","Colombia","Antioquia","Salgar","32158","He",79,32
74,"Serpocaulon adnatum",NA,"O. de Benavides 9170","PSO 20641","Nariño, Ricaurte, vía San Isidro-La Planada.","Colombia","Nariño","Ricaurte","32186","Hr",80,2
75,"Serpocaulon adnatum",NA,"O. de Benavides 9186","PSO 20656","Nariño, Ricaurte, vía San Isidro-La Planada.","Colombia","Nariño","Ricaurte","32215","Hr",81,2
76,"Serpocaulon adnatum",NA,"O. de Benavides 9702","PSO 20970","Nariño, reserva La Planada, Quebradas, El Mar-La Calladita.","Colombia","Nariño","reserva La Planada","32246","He",82,2
77,"Serpocaulon adnatum",NA,"O. de Benavides 9612","PSO 20881","Colombia, Nariño, reserva La Planada, Quebradas: EL Mar-La Calladita.","Colombia","Nariño","reserva La Planada","32262",NA,83,2
78,"Serpocaulon adnatum",NA,"C.A. Agudelo & M. C. Velez 302","HUQ 5338","Risaralda, Pereira, 2 km de la Finca la Suiza, vía Salento","Colombia","Risaralda","Pereira","32828","He",84,24
79,"Serpocaulon adnatum",1740,"T. B. Croat 71389","PSO 23292","Nariño, Reserva La Planada, 7 km arriba de Chucunés, vía potrero de Hermogenes","Colombia","Nariño","Reserva La Planada","32945","nr",85,2
80,"Serpocaulon adnatum",1607,"F. Llanos & J. Camacho 1797","COL 427154","Colombia, Huila, Colombia, Inspección de Santa Ana, vereda San Emilio, camino hacia la vereda Nueva Granada.","Colombia","Huila","Colombia","33138",NA,86,42
81,"Serpocaulon adnatum",NA,"S. Churchill & W. Rengifo M. 17317","HUA 75661","Cauca, Popayán, 8 km al Este de la Ciudad","Colombia","Cauca","Popayán","33250","Hr",87,11
82,"Serpocaulon adnatum",NA,"Betancur J. et al., 3172","COL 353006","Colombia, Risaralda, Mistrató, corregimiento de Jeguadas, Cordillera Occidental, vertiente occidental.","Colombia","Risaralda","Mistrató","33691",NA,88,29
83,"Serpocaulon adnatum",1165,"A. Gomez et al., 612","HUA 82495","Antioquia, Yarumal/Valdivia, vereda El Cedro, sector alto de Ventanas","Colombia","Antioquia","Yarumal/Valdivia","33769","He",89,56
84,"Serpocaulon adnatum",NA,"F. Llanos & W. Botache 2461","COL 468077","Huila, Rivera, vereda Honda Alta, Quebrada la Honda.","Colombia","Huila","Rivera","33895","nr",90,40
85,"Serpocaulon adnatum",1362,"F. Llanos & W. Botache 2500","COL 453558","Colombia, Huila, Rivera, vereda Honda Alta, Quebrada la Honda.","Colombia","Huila","Rivera","33900","Rup",91,40
86,"Serpocaulon adnatum",2352,"R. Fonnegra et al., 5287","COL 419337","Colombia, Antioquia, entre Medellin y Guarne, Parque Piedras Blancas, Sector las Lajas.","Colombia","Antioquia","entre Medellin y Guarne","34657","Hr",92,39
87,"Serpocaulon adnatum",2352,"R. Fonnegra et al., 5317","HUA 99583 HUA 95314","Antioquia, entre Medellin y Guarne, Parque Piedras Blancas, Sector las Lajas","Colombia","Antioquia","entre Medellin y Guarne","34678","He",93,39
88,"Serpocaulon adnatum",NA,"B. R. Ramirez-P. et al., 7131","CUAP 2917","Cauca, Popayán, Km 2,5 vía a Totoró, Río Blanco.","Colombia","Cauca","Popayán","34800","Hr",94,12
89,"Serpocaulon adnatum",NA,"B. R. Ramirez-P. et al., 7131","PSO 31006","Cauca, Popayán","Colombia","Cauca","Popayán","34800","Hr",95,12
90,"Serpocaulon adnatum",NA,"Ramírez-P. B.R. 7131","PSO 31006","Colombia, Cauca, Popayán, a 2,5 km vía a Totoró, Río Blanco.","Colombia","Cauca","Popayán","34800",NA,96,13
91,"Serpocaulon adnatum",NA,"D. Macias et al., 378","HUA 19518","Quindio, Salento, Vereda Cocora, Finca El Cairo","Colombia","Quindio","Salento","35226",NA,97,24
92,"Serpocaulon adnatum",NA,"F. Cardona & F. Alzate 565","HUA 111887","Antioquia, Medellin, Santa Elena, Sector Piedras Blancas","Colombia","Antioquia","Medellin","35855","Hem",98,39
93,"Serpocaulon adnatum",NA,"B. R. Ramirez-P. & S. L. Díaz 12219","PSO 36454","Cauca, Popayán, Hacienda la Pradera","Colombia","Cauca","Popayán","36344","Hr",99,12
94,"Serpocaulon adnatum",NA,"B. R. Ramirez-P. & S. L. Diaz 12219","CAUP 14298","Cauca, Popayán, Hacienda la Pradera, W de Popayán","Colombia","Cauca","Popayán","36344","Hr",100,12
95,"Serpocaulon adnatum",1864,"W. Vargas 7419","HUA 137976","Risaralda, Pereira, Otun Quimbaya","Colombia","Risaralda","Pereira","36567","He",101,24
96,"Serpocaulon adnatum",2439,"W. Rodriguez 3125","JAUM  37479-37481-37480","Antioquia, Medellin, Santa Elena, Vereda Piedras Blancas, Quebrada el Chorrillo, cerca de desembocadura al Embalse Piedras Blancas","Colombia","Antioquia","Medellin","36819","He ó Hr",102,39
97,"Serpocaulon adnatum",2439,"W.D. Rodriguez 3125","HAU 131973","Antioquia, Medellín, Corregimiento de Santa Elena, Vereda Piedras Blancas, Quebrada Chorrillo, Cerca de desembocadura al Embalse Piedras Blancas","Colombia","Antioquia","Medellín","36819","He",103,39
98,"Serpocaulon adnatum",NA,"C. Feuillet et al., 79","CAUP 11242","Cauca, Popayán, Riberas del Río Palace, vía Popayán-Totoró","Colombia","Cauca","Popayán","37096","sr",104,12
99,"Serpocaulon adnatum",2086,"D. Sanín 1714","FAUC 2959","Caldas, Manizales, Jardín Botanico de la Universidad de Caldas","Colombia","Caldas","Manizales","37358","He",105,37
100,"Serpocaulon adnatum",2033,"A. Nieto & T. A. Medina 467","TOLI 7790","Tolima, Ibagué, Arriba de Juntas, loma de la quebrada las Perlas","Colombia","Tolima","Ibagué","37403","Hr",106,44
101,"Serpocaulon adnatum",2573,"W. Rodriguez et al., 3560","COL 484023","Antioquia, Santa Rosa de Osos, Vereda La Quebradona, limite con Belmira","Colombia","Antioquia","Santa Rosa de Osos","37463","Hr",107,35
102,"Serpocaulon adnatum",2573,"W. Rodriguez et al., 3560","JAUM 38630-38629","Antioquia, Santa Rosa de Osos, Vereda La Quebradona, limite con Belmira","Colombia","Antioquia","Santa Rosa de Osos","37463","Hr",108,35
103,"Serpocaulon adnatum",2661,"Rodriguez E. et al., 3650","JAUM 38631","Colombia, Antioquia, Liborina, vereda Barrio Nuevo, margen izquierdo de la Quebrada La Honda, nacimientos.","Colombia","Antioquia","Liborina","37526","he",109,36
104,"Serpocaulon adnatum",2059,"W. Rodriguez et al., 3693","COL 483937","Antioquia, Sopetran, Correimiento de Horizontes, parte alta del Acueducto cerca del Alto de La Virgen","Colombia","Antioquia","Sopetran","37538","Hr",110,34
105,"Serpocaulon adnatum",2059,"W. Rodriguez et al., 3693","HUA 137471-137470","Antioquia, Sopetrán, Corregimiento Horizontes, parte alta de la Bocatoma, cerca al alto La Virgen","Colombia","Antioquia","Sopetrán","37538","Hr",111,34
106,"Serpocaulon adnatum",2073,"D. Sanín 1736","FAUC 3454","Caldas, Manizales, Ecoparque los Yarumos","Colombia","Caldas","Manizales","37665","He",112,37
107,"Serpocaulon adnatum",NA,"J.A. Aguilar 339","CAUP 14999","Cauca, Bolivar, asenso al Cerro de Lerma, vereda Buenos Aires","Colombia","Cauca","Bolivar","37690","He",113,10
108,"Serpocaulon adnatum",NA,"Duque C. Sn","FAUC 4772","Colombia, Tolima, Murillo, Finca Villa Helena, Jacinto Panchá.","Colombia","Tolima","Murillo","37711",NA,114,48
109,"Serpocaulon adnatum",NA,"J.A. Aguilar 391","CAUP 15029","Cauca, Bolivar, Corregimieno del Carmen, alrededores,","Colombia","Cauca","Bolivar","37721","He",115,7
110,"Serpocaulon adnatum",2568,"H. David & A. Giraldo 727","HUA 153038","Antioquia, Medellin, Santa Elena, Reserva Montevivo","Colombia","Antioquia","Medellin","37895","Hr",116,39
111,"Serpocaulon adnatum",2018,"A. N. Castaño-R. 581","FAUC (XXXX)","Caldas, Villamaría, Hacienda el Parnaso","Colombia","Caldas","Villamaría","38191","He",117,37
112,"Serpocaulon adnatum",NA,"D. Sanín 1643","FAUC xxX","Colombia, Caldas, Manizales, Neira, Alto del Guamo, Hacienda San Juan.","Colombia","Caldas","Manizales","38208","He",118,37
113,"Serpocaulon adnatum",NA,"D. Sanín 1643","FAUC xxX","Colombia, Caldas, Manizales, Neira, Alto del Guamo, Hacienda San Juan.","Colombia","Caldas","Manizales","38208","He",119,37
114,"Serpocaulon adnatum",NA,"D. M. Munar 711","CAUP 16390","Cauca, Santa Rosa, Bota Caucana, corregimiento San Juan de Villalobos, vereda la Esmeralda.","Colombia","Cauca","Santa Rosa","38268","He",120,6
115,"Serpocaulon adnatum",1864,"J. M. Duque Quintero 14","FAUC 10683","Risaralda, Pereira, Santuario Otún Quimbaya","Colombia","Risaralda","Pereira","38284",NA,121,24
116,"Serpocaulon adnatum",1864,"J. M. Duque Quintero 18","FAUC 10652","Risaralda, Pereira, Santuario Otún Quimbaya","Colombia","Risaralda","Pereira","38284","Hr",122,24
117,"Serpocaulon adnatum",2229,"W. Rodriguez et al., 4835","HUA 153784","Antioquia, Fredonia, Vereda Erbe, Microcuenca La Chaparrala","Colombia","Antioquia","Fredonia","38341","He",123,33
118,"Serpocaulon adnatum",NA,"D. M. Munar 1336","CAUP 16571","Cauca, Santa Rosa, Bota Caucana, Corregimiento de San Juan de Villalobos, Vereda la Esmeralda.","Colombia","Cauca","Santa Rosa","38417","He",124,6
119,"Serpocaulon adnatum",2243,"W. Rodriguez et al., 4907","HUA 153789","Antioquia, Jardín, Vereda Quebrada Bonita, Sector Bocatoma, Quebrada la Mendoza","Colombia","Antioquia","Jardín","38534","He",125,31
120,"Serpocaulon adnatum",1486,"D. Sanín 2806","FAUC XXX","Caldas, Riosucio, vereda El Claren, corregimiento de Bonafon, Finca El Mirador.","Colombia","Caldas","Riosucio","39111","He",126,28
121,"Serpocaulon adnatum",2059,"Sanín D. et al., 2794","FAUC (XXXX)","Colombia, Caldas, Manizales, vía Neira, Relleno Saniterios La Esmeralda, zona a la derecha de la Quebrada para conservación.","Colombia","Caldas","Manizales","39518",NA,127,37
122,"Serpocaulon adnatum",NA,"D. Sanín et al., 2774","FAUC (XXXX)","Caldas, Manizales, vía a Neira, cerca del Relleno Sanitario La Esmeralda, zona de relictos aledaños a quebradas.","Colombia","Caldas","Manizales","39755",NA,128,37
123,"Serpocaulon adnatum",NA,"D. Sanín et al., 2417","FAUC (XXXX)","Caldas, Neira, vereda La Cristalina, vía Marulanda, al margen de la vía.","Colombia","Caldas","Neira","40006","Hem",130,37
124,"Serpocaulon adnatum",1856,"D. Sanín et al., 3061","FAUC (XXXX)","Colombia, Quindio, Filandia, vereda Cruces, Corredor Biologico Los Monos-Sendero el Otobo.","Colombia","Quindio","Filandia","40013","He",131,24
125,"Serpocaulon adnatum",NA,"Sanín D. et al., 3306","FAUC (XXXX)","Colombia, Caldas, Manizales, Villamaria, vereda Montaño, finca San Antonio, relicto al nor-oriente de la casa.","Colombia","Caldas","Manizales","40032","Hr",132,37
126,"Serpocaulon adnatum",NA,"B. R. Ramirez-P. & M. S. González 9106","PSO 33145","Colombia, Nariño, Ricaurte, Resguardo Indígena Gualcalá, alrededores de Santa Fé.","Colombia","Nariño","Ricaurte","35050","He",133,4
127,"Serpocaulon adnatum",NA,"D. Sanín et al., 3306","FAUC (XXXX)","Colombia, Caldas, Manizales-Villamaria, vereda Montaño, finca San Antonio, relicto al nor-oriente de la casa.","Colombia","Caldas","Manizales-Villamaria",NA,NA,135,37
128,"Serpocaulon adnatum",NA,"D. Sanín et al., 3316","FAUC (XXXX)","Colombia, Caldas, Manizales-Villamaria, vereda Montaño, finca San Antonio, relicto al nor-oriente de la casa.","Colombia","Caldas","Manizales-Villamaria",NA,NA,136,37
129,"Serpocaulon adnatum",NA,"Alvarez Mejia L.M. 1336","FAUC 296","Caldas, Pensilvania, vereda El Dorado,","Colombia","Caldas","Pensilvania",NA,NA,137,50
