"tax","subpop","n_petroleo","pct_petroleo","n_mineria","pct_mineria","n_vias","pct_vias","n_cultivos","pct_cultivos","n_ganaderia","pct_ganaderia","n_urbano","pct_urbano","cod_dism_habitat","tiene_petroleo","tiene_mineria","tiene_vias","tiene_cultivos","tiene_ganaderia","tiene_urbano","tiene_hab","cod_amenazas","cod_tiempo","cod_alcance","cod_severidad","cod_presiones","mpios","desc_amenazas"
"Serpocaulon lasiopus",8,0,0,0,0,1,12.5,1,12.5,1,12.5,1,12.5,"YES",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"1.1, 2.1.4, 2.3.4, 4.1","Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","Guarné (departamento de Antioquia), Cajibío (departamento de Cauca), Popayán (departamento de Cauca), Suesca (departamento de Cundinamarca), Gachetá (departamento de Cundinamarca), Ubaqué (departamento de Cundinamarca), San Cayetano (departamento de Cundinamarca), Mosquera (departamento de Cundinamarca), La Mesa (departamento de Cundinamarca)","Ocho subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la expansión urbana, la agricultura (cultivos transitorios y permanentes), la ganadería, la construcción de infraestructura vial, en los municipios de Guarné (departamento de Antioquia), Cajibío (departamento de Cauca), Popayán (departamento de Cauca), Suesca (departamento de Cundinamarca), Gachetá (departamento de Cundinamarca), Ubaqué (departamento de Cundinamarca), San Cayetano (departamento de Cundinamarca), Mosquera (departamento de Cundinamarca), La Mesa (departamento de Cundinamarca)."
"Serpocaulon latissimum",27,1,3.7,1,3.7,1,3.7,1,3.7,1,3.7,1,3.7,"NO",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1.1, 2.1.4, 2.3.4, 3.1, 3.2, 4.1","Ongoing, Ongoing, Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","La Pedrera (departamento de Amazonas), Anorí (departamento de Antioquia), Cáceres (departamento de Antioquia), Jardín (departamento de Antioquia), San Carlos (departamento de Antioquia), Frontino (departamento de Antioquia), Guapí (departamento de Cauca), Bahía Solano (departamento de Chocó), Quibdó (departamento de Chocó), Buenaventura (departamento de Valle del Cauca), Medio San Juan (departamento de Chocó), San José del Palmar (departamento de Chocó), Unión Panamericana (departamento de Chocó), Río Quito (departamento de Chocó), Isnos (departamento de Huila), Barbacoas (departamento de Nariño), Tumaco (departamento de Nariño), Puerto Leguízamo (departamento de Putumayo), Orito (departamento de Putumayo), San Miguel de Mocoa (departamento de Putumayo), Cimitarra (departamento de Santander)","27 subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la expansión urbana, la agricultura (cultivos transitorios y permanentes), la ganadería, la extracción de hidrocarburos (petróleo y/o gas), la minería de metales, la construcción de infraestructura vial, en los municipios de La Pedrera (departamento de Amazonas), Anorí (departamento de Antioquia), Cáceres (departamento de Antioquia), Jardín (departamento de Antioquia), San Carlos (departamento de Antioquia), Frontino (departamento de Antioquia), Guapí (departamento de Cauca), Bahía Solano (departamento de Chocó), Quibdó (departamento de Chocó), Buenaventura (departamento de Valle del Cauca), Medio San Juan (departamento de Chocó), San José del Palmar (departamento de Chocó), Unión Panamericana (departamento de Chocó), Río Quito (departamento de Chocó), Isnos (departamento de Huila), Barbacoas (departamento de Nariño), Tumaco (departamento de Nariño), Puerto Leguízamo (departamento de Putumayo), Orito (departamento de Putumayo), San Miguel de Mocoa (departamento de Putumayo), Cimitarra (departamento de Santander)."
"Serpocaulon levigatum",89,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,"NO",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1.1, 2.1.4, 2.3.4, 3.1, 3.2, 4.1","Ongoing, Ongoing, Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","Belmira (departamento de Antioquia), Bello (departamento de Antioquia), Fredonia (departamento de Antioquia), Retiro (departamento de Antioquia), Medellín (departamento de Antioquia), Yarumal (departamento de Antioquia), Guarné (departamento de Antioquia), Caldas (departamento de Antioquia), La Unión (departamento de Antioquia), Jardín (departamento de Antioquia), Sonsón (departamento de Antioquia), Frontino (departamento de Antioquia), Briceño (departamento de Antioquia), Valdivia (departamento de Antioquia), El Carmen de Viboral (departamento de Antioquia), Envigado (departamento de Antioquia), Liborina (departamento de Antioquia), Santa Rosa de Osos (departamento de Antioquia), Angelópolis (departamento de Antioquia), Heliconia (departamento de Antioquia), Urrao (departamento de Antioquia), Onzaga (departamento de Santander), La Uvita (departamento de Boyacá), Villa de Leyva (departamento de Boyacá), Pensilvania (departamento de Caldas), Manizales (departamento de Caldas), Neira (departamento de Caldas), Riosucio (departamento de Caldas), Villamaría (departamento de Caldas), Aranzazú (departamento de Caldas), Cajibío (departamento de Cauca), Sotará (departamento de Cauca), El Tambo (departamento de Cauca), Argelia (departamento de Cauca), Toribío (departamento de Cauca), Inzá (departamento de Cauca), Puracé (departamento de Cauca), Popayán (departamento de Cauca), Bolívar (departamento de Cauca), El Cairo (departamento de Valle del Cauca), San José del Palmar (departamento de Chocó), Albán (departamento de Cundinamarca), Sasaima (departamento de Cundinamarca), Guasca (departamento de Cundinamarca), Bogotá D.C. (departamento de Bogotá D.C.), San Bernardo (departamento de Cundinamarca), Cabrera (departamento de Cundinamarca), Subachoque (departamento de Cundinamarca), La Plata (departamento de Huila), Acevedo (departamento de Huila), La Argentina (departamento de Huila), San Agustín (departamento de Huila), Nátaga (departamento de Huila), Isnos (departamento de Huila), Pitalito (departamento de Huila), Neiva (departamento de Huila), Campoalegre (departamento de Huila), La Cruz (departamento de Nariño), Agustín Codazzi (departamento de Cesar), Ciénaga (departamento de Magdalena), Santa Marta (departamento de Magdalena), Acacías (departamento de Meta), Vista Hermosa (departamento de Meta), San Juan de Pasto (departamento de Nariño), Ipiales (departamento de Nariño), La Unión (departamento de Nariño), Chachagüí (departamento de Nariño), Sandoná (departamento de Nariño), Toledo (departamento de Norte de Santander), Pamplona (departamento de Norte de Santander), La Playa de Belén (departamento de Norte de Santander), Santiago (departamento de Putumayo), Sibundoy (departamento de Putumayo), San Miguel de Mocoa (departamento de Putumayo), San Francisco (departamento de Putumayo), Calarcá (departamento de Quindío), Filandia (departamento de Quindío), Salento (departamento de Quindío), Pijao (departamento de Quindío), Córdoba (departamento de Quindío), Génova (departamento de Quindío), Santa Rosa de Cabal (departamento de Risaralda), Marsella (departamento de Risaralda), Pereira (departamento de Risaralda), Santuario (departamento de Risaralda), Los Santos (departamento de Santander), Floridablanca (departamento de Santander), Anzoátegui (departamento de Tolima), Santa Isabel (departamento de Tolima), Murillo (departamento de Tolima), Ibagué (departamento de Tolima), Palmira (departamento de Valle del Cauca), Guadalajara de Buga (departamento de Valle del Cauca), Santiago de Cali (departamento de Valle del Cauca), Florida (departamento de Valle del Cauca), Buenaventura (departamento de Valle del Cauca)","89 subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la expansión urbana, la agricultura (cultivos transitorios y permanentes), la ganadería, la extracción de hidrocarburos (petróleo y/o gas), la minería de metales, la construcción de infraestructura vial, en los municipios de Belmira (departamento de Antioquia), Bello (departamento de Antioquia), Fredonia (departamento de Antioquia), Retiro (departamento de Antioquia), Medellín (departamento de Antioquia), Yarumal (departamento de Antioquia), Guarné (departamento de Antioquia), Caldas (departamento de Antioquia), La Unión (departamento de Antioquia), Jardín (departamento de Antioquia), Sonsón (departamento de Antioquia), Frontino (departamento de Antioquia), Briceño (departamento de Antioquia), Valdivia (departamento de Antioquia), El Carmen de Viboral (departamento de Antioquia), Envigado (departamento de Antioquia), Liborina (departamento de Antioquia), Santa Rosa de Osos (departamento de Antioquia), Angelópolis (departamento de Antioquia), Heliconia (departamento de Antioquia), Urrao (departamento de Antioquia), Onzaga (departamento de Santander), La Uvita (departamento de Boyacá), Villa de Leyva (departamento de Boyacá), Pensilvania (departamento de Caldas), Manizales (departamento de Caldas), Neira (departamento de Caldas), Riosucio (departamento de Caldas), Villamaría (departamento de Caldas), Aranzazú (departamento de Caldas), Cajibío (departamento de Cauca), Sotará (departamento de Cauca), El Tambo (departamento de Cauca), Argelia (departamento de Cauca), Toribío (departamento de Cauca), Inzá (departamento de Cauca), Puracé (departamento de Cauca), Popayán (departamento de Cauca), Bolívar (departamento de Cauca), El Cairo (departamento de Valle del Cauca), San José del Palmar (departamento de Chocó), Albán (departamento de Cundinamarca), Sasaima (departamento de Cundinamarca), Guasca (departamento de Cundinamarca), Bogotá D.C. (departamento de Bogotá D.C.), San Bernardo (departamento de Cundinamarca), Cabrera (departamento de Cundinamarca), Subachoque (departamento de Cundinamarca), La Plata (departamento de Huila), Acevedo (departamento de Huila), La Argentina (departamento de Huila), San Agustín (departamento de Huila), Nátaga (departamento de Huila), Isnos (departamento de Huila), Pitalito (departamento de Huila), Neiva (departamento de Huila), Campoalegre (departamento de Huila), La Cruz (departamento de Nariño), Agustín Codazzi (departamento de Cesar), Ciénaga (departamento de Magdalena), Santa Marta (departamento de Magdalena), Acacías (departamento de Meta), Vista Hermosa (departamento de Meta), San Juan de Pasto (departamento de Nariño), Ipiales (departamento de Nariño), La Unión (departamento de Nariño), Chachagüí (departamento de Nariño), Sandoná (departamento de Nariño), Toledo (departamento de Norte de Santander), Pamplona (departamento de Norte de Santander), La Playa de Belén (departamento de Norte de Santander), Santiago (departamento de Putumayo), Sibundoy (departamento de Putumayo), San Miguel de Mocoa (departamento de Putumayo), San Francisco (departamento de Putumayo), Calarcá (departamento de Quindío), Filandia (departamento de Quindío), Salento (departamento de Quindío), Pijao (departamento de Quindío), Córdoba (departamento de Quindío), Génova (departamento de Quindío), Santa Rosa de Cabal (departamento de Risaralda), Marsella (departamento de Risaralda), Pereira (departamento de Risaralda), Santuario (departamento de Risaralda), Los Santos (departamento de Santander), Floridablanca (departamento de Santander), Anzoátegui (departamento de Tolima), Santa Isabel (departamento de Tolima), Murillo (departamento de Tolima), Ibagué (departamento de Tolima), Palmira (departamento de Valle del Cauca), Guadalajara de Buga (departamento de Valle del Cauca), Santiago de Cali (departamento de Valle del Cauca), Florida (departamento de Valle del Cauca), Buenaventura (departamento de Valle del Cauca)."
"Serpocaulon loriceum",8,1,12.5,0,0,1,12.5,1,12.5,1,12.5,0,0,"NO",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"2.1.4, 2.3.4, 3.1, 4.1","Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","La Unión (departamento de Antioquia), Sesquilé (departamento de Cundinamarca), Piedecuesta (departamento de Santander), Pitalito (departamento de Huila), Frontino (departamento de Antioquia), Herrán (departamento de Norte de Santander), San Francisco (departamento de Putumayo), Mallama (departamento de Nariño)","Ocho subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la agricultura (cultivos transitorios y permanentes), la ganadería, la extracción de hidrocarburos (petróleo y/o gas), la construcción de infraestructura vial, en los municipios de La Unión (departamento de Antioquia), Sesquilé (departamento de Cundinamarca), Piedecuesta (departamento de Santander), Pitalito (departamento de Huila), Frontino (departamento de Antioquia), Herrán (departamento de Norte de Santander), San Francisco (departamento de Putumayo), Mallama (departamento de Nariño)."
"Serpocaulon maritimum",12,0,0,0,0,1,8.3,1,8.3,0,0,0,0,"NO",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"2.1.4, 4.1","Ongoing, Ongoing","Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","Medio San Juan (departamento de Chocó), Barbacoas (departamento de Nariño), Buenaventura (departamento de Valle del Cauca), Uribía (departamento de La Guajira), Condotó (departamento de Chocó), San José del Palmar (departamento de Chocó), Santa Marta (departamento de Magdalena), Dagua (departamento de Valle del Cauca), Mallama (departamento de Nariño), Urrao (departamento de Antioquia)","12 subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la agricultura (cultivos transitorios y permanentes), la construcción de infraestructura vial, en los municipios de Medio San Juan (departamento de Chocó), Barbacoas (departamento de Nariño), Buenaventura (departamento de Valle del Cauca), Uribía (departamento de La Guajira), Condotó (departamento de Chocó), San José del Palmar (departamento de Chocó), Santa Marta (departamento de Magdalena), Dagua (departamento de Valle del Cauca), Mallama (departamento de Nariño), Urrao (departamento de Antioquia)."
"Serpocaulon nanegalense",18,0,0,1,5.6,1,5.6,1,5.6,1,5.6,1,5.6,"NO",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1.1, 2.1.4, 2.3.4, 3.2, 4.1","Ongoing, Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","Belmira (departamento de Antioquia), Medellín (departamento de Antioquia), Caldas (departamento de Antioquia), Andes (departamento de Antioquia), Jardín (departamento de Antioquia), Bello (departamento de Antioquia), Heliconia (departamento de Antioquia), Sogamoso (departamento de Boyacá), Villa de Leyva (departamento de Boyacá), Inzá (departamento de Cauca), Sibaté (departamento de Cundinamarca), Cajicá (departamento de Cundinamarca), San Juan de Pasto (departamento de Nariño), Herrán (departamento de Norte de Santander), Sibundoy (departamento de Putumayo), Génova (departamento de Quindío), Santuario (departamento de Risaralda), Sonsón (departamento de Antioquia), Buenaventura (departamento de Valle del Cauca)","18 subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la expansión urbana, la agricultura (cultivos transitorios y permanentes), la ganadería, la minería de metales, la construcción de infraestructura vial, en los municipios de Belmira (departamento de Antioquia), Medellín (departamento de Antioquia), Caldas (departamento de Antioquia), Andes (departamento de Antioquia), Jardín (departamento de Antioquia), Bello (departamento de Antioquia), Heliconia (departamento de Antioquia), Sogamoso (departamento de Boyacá), Villa de Leyva (departamento de Boyacá), Inzá (departamento de Cauca), Sibaté (departamento de Cundinamarca), Cajicá (departamento de Cundinamarca), San Juan de Pasto (departamento de Nariño), Herrán (departamento de Norte de Santander), Sibundoy (departamento de Putumayo), Génova (departamento de Quindío), Santuario (departamento de Risaralda), Sonsón (departamento de Antioquia), Buenaventura (departamento de Valle del Cauca)."
"Serpocaulon patentissimum",4,0,0,0,0,1,25,1,25,1,25,0,0,"NO",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"2.1.4, 2.3.4, 4.1","Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","Frontino (departamento de Antioquia), Barbacoas (departamento de Nariño), Ricaurte (departamento de Nariño), Santiago de Cali (departamento de Valle del Cauca)","Cuatro subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la agricultura (cultivos transitorios y permanentes), la ganadería, la construcción de infraestructura vial, en los municipios de Frontino (departamento de Antioquia), Barbacoas (departamento de Nariño), Ricaurte (departamento de Nariño), Santiago de Cali (departamento de Valle del Cauca)."
"Serpocaulon psychotrium",17,1,5.9,1,5.9,1,5.9,1,5.9,1,5.9,1,5.9,"NO",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1.1, 2.1.4, 2.3.4, 3.1, 3.2, 4.1","Ongoing, Ongoing, Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","La Pedrera (departamento de Amazonas), San Rafael (departamento de Antioquia), Amalfi (departamento de Antioquia), Guatapé (departamento de Antioquia), Cocorná (departamento de Antioquia), Barbosa (departamento de Antioquia), Anorí (departamento de Antioquia), Pauna (departamento de Boyacá), Solano (departamento de Caquetá), Agustín Codazzi (departamento de Cesar), Sasaima (departamento de Cundinamarca), Guayabetal (departamento de Cundinamarca), Yacopí (departamento de Cundinamarca), La Macarena (departamento de Meta), Rivera (departamento de Huila), Pitalito (departamento de Huila), Palestina (departamento de Huila)","17 subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la expansión urbana, la agricultura (cultivos transitorios y permanentes), la ganadería, la extracción de hidrocarburos (petróleo y/o gas), la minería de metales, la construcción de infraestructura vial, en los municipios de La Pedrera (departamento de Amazonas), San Rafael (departamento de Antioquia), Amalfi (departamento de Antioquia), Guatapé (departamento de Antioquia), Cocorná (departamento de Antioquia), Barbosa (departamento de Antioquia), Anorí (departamento de Antioquia), Pauna (departamento de Boyacá), Solano (departamento de Caquetá), Agustín Codazzi (departamento de Cesar), Sasaima (departamento de Cundinamarca), Guayabetal (departamento de Cundinamarca), Yacopí (departamento de Cundinamarca), La Macarena (departamento de Meta), Rivera (departamento de Huila), Pitalito (departamento de Huila), Palestina (departamento de Huila)."
"Serpocaulon ptilorhizon",5,0,0,1,20,1,20,1,20,1,20,0,0,"YES",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"2.1.4, 2.3.4, 3.2, 4.1","Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","Medellín (departamento de Antioquia), Guatapé (departamento de Antioquia), Sonsón (departamento de Antioquia), Amalfi (departamento de Antioquia), Copacabana (departamento de Antioquia), Anorí (departamento de Antioquia), Rionegro (departamento de Antioquia)","Cinco subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la agricultura (cultivos transitorios y permanentes), la ganadería, la minería de metales, la construcción de infraestructura vial, en los municipios de Medellín (departamento de Antioquia), Guatapé (departamento de Antioquia), Sonsón (departamento de Antioquia), Amalfi (departamento de Antioquia), Copacabana (departamento de Antioquia), Anorí (departamento de Antioquia), Rionegro (departamento de Antioquia)."
"Serpocaulon richardii",3,0,0,0,0,0,0,1,33.3,0,0,0,0,"NO",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"2.1.4","Ongoing","Minority (<50%)","Very rapid declines","1.1 | 1.2 | 2.1 | 2.2","San Miguel de Mocoa (departamento de Putumayo), Sasaima (departamento de Cundinamarca), Florián (departamento de Santander)","Tres subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la agricultura (cultivos transitorios y permanentes), en los municipios de San Miguel de Mocoa (departamento de Putumayo), Sasaima (departamento de Cundinamarca), Florián (departamento de Santander)."
"Serpocaulon sessilifolium",28,1,3.6,1,3.6,1,3.6,1,3.6,1,3.6,1,3.6,"NO",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1.1, 2.1.4, 2.3.4, 3.1, 3.2, 4.1","Ongoing, Ongoing, Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","La Unión (departamento de Antioquia), Belmira (departamento de Antioquia), Abejorral (departamento de Antioquia), San José de la Montaña (departamento de Antioquia), Angostura (departamento de Antioquia), Medellín (departamento de Antioquia), Santa María (departamento de Boyacá), Manizales (departamento de Caldas), Salamina (departamento de Caldas), Puracé (departamento de Cauca), Jambaló (departamento de Cauca), Silvia (departamento de Cauca), Bolívar (departamento de Cauca), Fómeque (departamento de Cundinamarca), La Plata (departamento de Huila), Pitalito (departamento de Huila), La Argentina (departamento de Huila), Neiva (departamento de Huila), San Juan de Pasto (departamento de Nariño), Barbacoas (departamento de Nariño), Salento (departamento de Quindío), Santuario (departamento de Risaralda), Pereira (departamento de Risaralda), Onzaga (departamento de Santander), Piedecuesta (departamento de Santander), Ibagué (departamento de Tolima), Buenaventura (departamento de Valle del Cauca)","28 subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la expansión urbana, la agricultura (cultivos transitorios y permanentes), la ganadería, la extracción de hidrocarburos (petróleo y/o gas), la minería de metales, la construcción de infraestructura vial, en los municipios de La Unión (departamento de Antioquia), Belmira (departamento de Antioquia), Abejorral (departamento de Antioquia), San José de la Montaña (departamento de Antioquia), Angostura (departamento de Antioquia), Medellín (departamento de Antioquia), Santa María (departamento de Boyacá), Manizales (departamento de Caldas), Salamina (departamento de Caldas), Puracé (departamento de Cauca), Jambaló (departamento de Cauca), Silvia (departamento de Cauca), Bolívar (departamento de Cauca), Fómeque (departamento de Cundinamarca), La Plata (departamento de Huila), Pitalito (departamento de Huila), La Argentina (departamento de Huila), Neiva (departamento de Huila), San Juan de Pasto (departamento de Nariño), Barbacoas (departamento de Nariño), Salento (departamento de Quindío), Santuario (departamento de Risaralda), Pereira (departamento de Risaralda), Onzaga (departamento de Santander), Piedecuesta (departamento de Santander), Ibagué (departamento de Tolima), Buenaventura (departamento de Valle del Cauca)."
"Serpocaulon subandinum",29,0,0,1,3.4,1,3.4,1,3.4,1,3.4,1,3.4,"NO",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"1.1, 2.1.4, 2.3.4, 3.2, 4.1","Ongoing, Ongoing, Ongoing, Ongoing, Ongoing","Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%), Minority (<50%)","Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines, Very rapid declines","1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2 // 1.1 | 1.2 | 2.1 | 2.2","Urrao (departamento de Antioquia), Belmira (departamento de Antioquia), Arcabuco (departamento de Boyacá), Samacá (departamento de Boyacá), Duitama (departamento de Boyacá), Villa de Leyva (departamento de Boyacá), Villamaría (departamento de Caldas), Salamina (departamento de Caldas), Manizales (departamento de Caldas), Puracé (departamento de Cauca), Popayán (departamento de Cauca), Bolívar (departamento de Cauca), Inzá (departamento de Cauca), Silvia (departamento de Cauca), Timbío (departamento de Cauca), Totoró (departamento de Cauca), Agustín Codazzi (departamento de Cesar), Bogotá D.C. (departamento de Bogotá D.C.), Sibaté (departamento de Cundinamarca), Suesca (departamento de Cundinamarca), Subachoque (departamento de Cundinamarca), Santa Marta (departamento de Magdalena), San Juan de Pasto (departamento de Nariño), Herrán (departamento de Norte de Santander), Salento (departamento de Quindío), Santuario (departamento de Risaralda), Cajamarca (departamento de Tolima), Ibagué (departamento de Tolima)","29 subpoblaciones conocidas de la especie se encuentran en sitios con destrucción y degradación de su hábitat. Las alteraciones del hábitat se deben principalmente a la expansión urbana, la agricultura (cultivos transitorios y permanentes), la ganadería, la minería de metales, la construcción de infraestructura vial, en los municipios de Urrao (departamento de Antioquia), Belmira (departamento de Antioquia), Arcabuco (departamento de Boyacá), Samacá (departamento de Boyacá), Duitama (departamento de Boyacá), Villa de Leyva (departamento de Boyacá), Villamaría (departamento de Caldas), Salamina (departamento de Caldas), Manizales (departamento de Caldas), Puracé (departamento de Cauca), Popayán (departamento de Cauca), Bolívar (departamento de Cauca), Inzá (departamento de Cauca), Silvia (departamento de Cauca), Timbío (departamento de Cauca), Totoró (departamento de Cauca), Agustín Codazzi (departamento de Cesar), Bogotá D.C. (departamento de Bogotá D.C.), Sibaté (departamento de Cundinamarca), Suesca (departamento de Cundinamarca), Subachoque (departamento de Cundinamarca), Santa Marta (departamento de Magdalena), San Juan de Pasto (departamento de Nariño), Herrán (departamento de Norte de Santander), Salento (departamento de Quindío), Santuario (departamento de Risaralda), Cajamarca (departamento de Tolima), Ibagué (departamento de Tolima)."
